solvent1_label,number,LogP,Area,donors,acceptors,point
dmf,162,0.0,0.5442359249329759,0.0,0.16666666666666666,0.7072879330943846
methanol,141,0.1020408163265306,0.5415549597855228,0.5,0.16666666666666666,0.17861409796893665
water,76,0.1020408163265306,0.02680965147453083,0.5,0.16666666666666666,0.3906810035842293
thf,41,0.3061224489795918,0.24664879356568364,0.0,0.16666666666666666,0.18757467144563914
ethanol,33,0.18367346938775508,0.5415549597855228,0.5,0.16666666666666666,0.26105137395459965
acetonitrile,32,0.2040816326530612,0.6380697050938338,0.0,0.16666666666666666,0.2807646356033452
dmso,26,0.08163265306122448,0.9731903485254692,0.0,0.3333333333333333,0.9223416965352448
dichloromethane,19,0.510204081632653,0.0,0.0,0.0,0.1356033452807646
"n,n-dimethylacetamide",18,0.040816326530612235,0.5442359249329759,0.0,0.16666666666666666,0.7855436081242532
hexafluorobenzene,9,0.7142857142857142,0.0,0.0,1.0,0.27419354838709675
i-propanol,7,0.26530612244897955,0.5415549597855228,0.5,0.16666666666666666,0.2855436081242533
acetone,6,0.18367346938775508,0.45844504021447724,0.0,0.16666666666666666,0.12843488649940263
n-methylpyrrolidinone,6,0.1020408163265306,0.5442359249329759,0.0,0.16666666666666666,0.9999999999999999
aceticacid,5,0.16326530612244897,0.9999999999999999,0.5,0.3333333333333333,0.49880525686977284
chloroform,5,0.6734693877551019,0.0,0.0,0.0,0.15890083632019117
n-pentane,5,0.8979591836734693,0.0,0.0,0.0,0.00896057347670251
n-hexane,3,0.9999999999999999,0.0,0.0,0.0,0.2037037037037037
isopropylether,3,0.510204081632653,0.24664879356568364,0.0,0.16666666666666666,0.20131421744324965
n-butanol,2,0.3877551020408163,0.5415549597855228,0.5,0.16666666666666666,0.49641577060931896
formicacid,2,0.16326530612244897,0.9999999999999999,0.5,0.3333333333333333,0.39426523297491023
diglyme,2,0.12244897959183672,0.7426273458445041,0.0,0.5,0.7479091995221027
toluene,2,0.7551020408163265,0.0,0.0,0.0,0.45400238948626037
pyridine,2,0.346938775510204,0.34584450402144773,0.0,0.16666666666666666,0.4820788530465949
ethylacetate,2,0.346938775510204,0.7050938337801609,0.0,0.3333333333333333,0.2538829151732377
"1,4-dioxane",2,0.14285714285714285,0.4959785522788204,0.0,0.3333333333333333,0.3984468339307048
n-propanol,2,0.26530612244897955,0.5415549597855228,0.5,0.16666666666666666,0.36559139784946226
"n,n-dimethylaniline",1,0.6734693877551019,0.08579088471849866,0.0,0.16666666666666666,0.9492234169653523
diethylsulfoxide,1,0.2040816326530612,0.9731903485254692,0.0,0.3333333333333333,0.32198327359617673
mesitylene,1,0.8979591836734693,0.0,0.0,0.0,0.7891278375149341
aniline,1,0.3877551020408163,0.6970509383378016,0.5,0.16666666666666666,0.8948626045400238
benzene,1,0.6326530612244897,0.0,0.0,0.0,0.27180406212664265
diethylformamide,1,0.3061224489795918,0.5442359249329759,0.0,0.16666666666666666,0.8536439665471923
ethanedithiol,1,0.4693877551020408,0.05361930294906166,1.0,0.3333333333333333,0.6594982078853046
dimethoxyethane,1,0.3061224489795918,0.4959785522788204,0.0,0.3333333333333333,0.30107526881720426
trifluoroaceticacid,1,0.3877551020408163,0.9999999999999999,0.5,0.8333333333333333,0.22341696535244918
thiophene,1,0.5714285714285714,0.7560321715817694,0.0,0.16666666666666666,0.19653524492234167
ethylether,1,0.3877551020408163,0.24664879356568364,0.0,0.16666666666666666,0.0
2-methoxyhexane,1,0.040816326530612235,0.7908847184986595,0.5,0.3333333333333333,0.5340501792114695
r-1-phenylethanol,1,0.4897959183673468,0.5415549597855228,0.5,0.16666666666666666,0.32198327359617673
s-1-phenylethanol,1,0.4897959183673468,0.5415549597855228,0.5,0.16666666666666666,0.32198327359617673
